Milky_Way_Galaxy_(SIHanatsuka_Remix)	3R2	177.3
True	2	289.5	-1
True	3	289.5	-1
False	1	291.5	-1
False	1	291.75	0.5
False	2	292.5	-1
False	2	292.75	0.5
True	3	293.5	-1
True	3	293.75	0.5
True	4	294.5	-1
True	4	294.75	0.5
False	1	295.5	-1
False	1	295.75	0.5
True	3	296.5	-1
True	3	296.75	0.5
False	2	297.5	-1
False	2	297.75	0.5
True	2	298.5	-1
True	2	298.75	0.5
False	1	299.5	-1
False	1	299.75	0.5
True	4	300.5	-1
True	4	300.75	0.5
False	2	301.5	-1
False	1	301.75	-1
False	2	302	-1
False	3	302.25	-1
False	2	302.5	-1
False	3	302.75	-1
False	4	303	-1
True	1	303.25	-1
False	2	303.75	-1
False	3	304.5	-1
True	1	305	-1
True	2	305.25	-1
True	3	305.5	-1
False	1	305.75	-1
False	2	306	-1
False	3	306.25	-1
False	4	306.5	-1
False	3	306.75	-1
False	4	307	-1
False	3	307.25	-1
False	2	307.5	-1
False	1	307.75	-1
False	1	308.25	-1
False	1	308.75	-1
True	1	308.75	-1
False	1	309.25	-1
False	2	309.75	-1
False	2	310.25	-1
False	2	310.75	-1
True	2	310.75	-1
False	2	311.25	-1
False	3	311.75	-1
False	3	312.25	-1
False	3	312.75	-1
True	3	312.75	-1
False	3	313.25	-1
False	4	313.75	-1
False	4	314.25	-1
False	4	314.75	-1
True	4	314.75	-1
False	4	315.25	-1
False	1	316	-1
False	4	316	-1
False	3	316.5	-1
False	2	317	-1
True	1	317.5	-1
True	4	317.5	-1
True	2	318	-1
True	3	318.5	-1
False	1	319	-1
False	4	319	-1
False	2	319.5	-1
False	1	320	1.5
False	4	320	1.5
True	1	320	3
True	4	320	2
False	1	324	-1
False	2	324.75	-1
False	3	325	-1
False	2	325.5	-1
False	3	325.75	-1
False	1	326	0.75
False	4	327	0.75
False	1	328	-1
False	2	328.75	-1
False	3	329	-1
False	2	329.5	-1
False	3	329.75	-1
False	4	330	0.75
False	1	331	0.75
False	2	332	-1
False	3	332.75	-1
False	4	333	-1
False	2	333.5	-1
False	3	333.75	-1
False	1	334	0.75
False	4	335	0.75
False	2	336	-1
False	2	336.75	-1
False	3	337	-1
False	1	337.5	-1
False	2	337.75	-1
False	1	338	0.75
True	1	338	0.75
False	3	339	0.75
True	3	339	0.75
False	1	340.25	-1
False	2	341	-1
False	3	341.25	-1
False	2	341.75	-1
False	3	342	-1
False	1	342.25	0.75
False	4	343.25	0.75
False	1	344.25	-1
False	2	345	-1
False	3	345.25	-1
False	2	345.75	-1
False	3	346	-1
False	4	346.25	0.75
False	1	347.25	0.75
False	2	348.25	-1
False	3	349	-1
False	4	349.25	-1
False	1	349.75	-1
False	2	350	-1
True	1	350.25	0.75
True	4	351.25	0.75
False	3	352.25	-1
False	2	353	-1
False	3	353.25	-1
False	3	353.75	-1
False	4	354	-1
True	4	354.25	0.75
True	1	355.25	0.75
False	1	356.25	-1
False	2	357	-1
False	3	357.25	-1
False	2	357.75	-1
False	3	358	-1
False	1	358.25	-1
False	2	358.5	-1
False	1	358.75	-1
False	2	359	-1
False	3	359.25	-1
False	4	359.5	-1
False	3	359.75	-1
False	4	360	-1
False	1	360.25	-1
False	2	361	-1
False	3	361.25	-1
False	2	362	-1
False	3	362.25	-1
False	4	362.5	-1
False	3	362.75	-1
False	4	363	-1
False	3	363.25	-1
False	2	363.5	-1
False	1	363.75	-1
False	2	364	-1
False	1	364.25	-1
False	3	364.5	-1
False	3	365.25	-1
False	4	365.5	-1
False	1	366	-1
False	2	366.25	-1
True	1	366.5	-1
True	2	366.75	-1
True	1	367	-1
True	2	367.25	-1
True	3	367.5	-1
True	4	367.75	-1
True	3	368	-1
True	4	368.25	-1
False	2	368.5	-1
False	3	369.25	-1
False	4	369.5	-1
False	2	370	-1
False	3	370.25	-1
False	1	370.5	-1
False	2	370.75	-1
False	3	371	-1
False	4	371.25	-1
True	3	371.5	-1
True	1	371.75	-1
True	2	372	-1
True	3	372.25	-1
False	2	372.5	-1
False	3	373.25	-1
False	4	373.5	-1
False	2	374	-1
False	3	374.25	-1
False	1	374.5	-1
False	4	374.75	-1
False	1	375	-1
False	4	375.25	-1
False	2	375.5	-1
False	2	375.75	-1
False	3	376	-1
False	3	376.25	-1
False	4	376.75	-1
False	2	377.5	-1
False	3	377.75	-1
False	1	378.25	-1
False	2	378.5	-1
True	1	378.75	-1
True	4	379	-1
True	1	379.25	-1
True	4	379.5	-1
True	3	379.75	-1
True	3	380	-1
True	2	380.25	-1
True	2	380.5	-1
False	1	380.75	-1
False	2	381.5	-1
False	3	381.75	-1
False	2	382.25	-1
False	3	382.5	-1
False	1	382.75	-1
False	1	383	-1
False	4	383.25	-1
False	4	383.5	-1
False	2	383.75	-1
False	2	384	-1
False	3	384.25	-1
False	3	384.5	-1
True	1	384.75	2
True	2	384.75	1.5
True	3	384.75	1
True	4	384.75	3
False	1	388.75	-1
True	4	388.75	2
False	3	389.75	-1
False	2	390.75	-1
False	4	391.75	-1
True	1	391.75	3
False	2	392.75	-1
False	3	393.75	-1
False	1	394.75	-1
False	2	395.75	-1
True	3	395.75	3.25
False	4	396.75	-1
False	1	397.75	-1
False	3	399	-1
False	2	400	-1
True	2	400	2.5
False	1	401	-1
False	2	402.25	-1
False	4	403	-1
True	4	403	-1
False	3	403.5	-1
True	3	403.5	-1
False	2	404	-1
True	2	404	-1
False	1	404.5	-1
True	1	404.5	-1
False	3	405	-1
False	4	405	-1
True	1	405	3
True	2	405	2
False	3	406	-1
False	4	406	-1
False	2	407	-1
False	3	407	-1
False	2	408	-1
False	4	408	-1
False	1	409	-1
False	2	409	-1
True	3	409	3
True	4	409	5
False	1	410	-1
False	2	410	-1
False	1	411	-1
False	2	411	-1
False	2	412	-1
False	3	412	-1
False	1	413	-1
False	3	413	-1
False	1	414	-1
False	2	414	-1
False	1	415	-1
False	4	415	-1
True	1	415	3
False	2	416	-1
False	4	416	-1
False	1	417	-1
False	3	417	-1
False	3	418	-1
False	4	418	-1
False	2	419.25	1.5
False	3	419.25	1.5
True	1	419.25	1.5
True	4	419.25	1.5
False	2	421.25	-1
True	4	421.25	7.5
False	1	421.75	-1
False	3	422.25	-1
False	4	422.75	-1
False	2	423.25	-1
False	3	423.75	-1
False	1	424.25	-1
False	2	424.75	-1
False	1	425.25	-1
False	3	425.75	-1
False	4	426.25	-1
False	2	426.75	-1
False	1	427.25	-1
False	3	427.75	-1
False	2	428.25	-1
False	4	428.75	-1
False	3	429.25	-1
True	1	429.25	5.5
False	2	429.75	-1
False	1	430.25	-1
False	3	430.75	-1
False	2	431.25	-1
False	3	431.75	-1
False	4	432.25	-1
False	2	432.75	-1
False	3	433.25	-1
False	1	433.75	-1
False	3	434.25	-1
False	2	434.75	-1
False	4	435.25	-1
True	4	435.25	-1
False	3	436	-1
True	3	436	-1
False	2	436.5	-1
True	2	436.5	-1
False	1	437	-1
True	1	437	-1
False	2	437.5	-1
True	2	437.5	-1
False	3	438	-1
True	3	438	-1
False	1	438.5	-1
True	1	438.5	-1
False	4	439	-1
True	4	439	-1
False	3	439.5	-1
True	3	439.5	-1
False	2	440	-1
True	2	440	-1
False	4	440.5	-1
True	4	440.5	-1
False	1	441	-1
True	1	441	-1
False	3	441.5	-1
True	3	441.5	-1
False	4	442	-1
True	4	442	-1
False	2	442.5	-1
True	2	442.5	-1
False	1	443	-1
True	1	443	-1
False	3	443.5	-1
True	3	443.5	-1
False	4	444	-1
True	4	444	-1
False	2	444.5	-1
True	2	444.5	-1
False	3	445	-1
True	3	445	-1
False	1	445.5	1.25
True	1	445.5	1.25
False	4	446	-1
False	3	446.5	-1
False	4	447	2
True	4	447	2
False	2	447.5	-1
False	1	448	-1
True	1	448.5	-1
True	2	448.5	-1
True	1	449.5	4.25
True	2	449.5	4.25
True	3	449.5	4.25
True	4	449.5	4.25
